Date,Open,High,Low,Close,Volume
2015-01-02,  41.18,  41.31,  40.37,40.56, 1529200
2014-12-31,41.2889,41.6879,40.8001,40.84, 1421100
2014-12-30,41.1104,41.4895,41.0406,41.27, 1323500
2014-12-29,41.2599,41.4694,  41.21,41.23,  975900
2014-12-26,41.2401,41.4695,41.1902,41.28,  588000
2014-12-24,41.3193, 41.429,40.8604,41.03, 1426900
2014-12-23,41.8785,41.9085,  41.26,41.27, 1867200
2014-12-22,41.2812,  41.78,41.2812,41.78, 1585900
2014-12-19,40.8012,41.3299,40.7613,41.28, 3736300
2014-12-18,40.3805,40.6998,40.0114, 40.6, 3104100
2014-12-17,38.2436,39.8894,37.9942,39.66, 3502700
2014-12-16,38.2104,39.3876,38.0109,38.38, 3842600
2014-12-15,39.9768,40.0765,38.5601,38.59, 4507400
2014-12-12,40.0988,40.5177,  39.61,39.62, 2333400
2014-12-11,40.4003,41.0786,40.3903,40.52, 1640900
2014-12-10,41.2575,41.2575,40.2101,40.24, 2650000
2014-12-09, 40.891,41.3299, 40.881, 41.3, 1798100
2014-12-08,42.1283,42.4076,41.3202,41.41, 1425800
2014-12-05,42.1302,42.3896,41.9805, 42.2, 1019500
2014-12-04,42.0503, 42.579,41.9206,42.17, 1345000
2014-12-03,41.8806,42.2697, 41.721,42.13, 2250300
2014-12-02,41.5009,41.9997, 41.451,41.88, 2014400
2014-12-01,42.5874,42.6273,  41.48,41.49, 4411200
2014-11-28,  42.64,42.8894,42.4904,42.64, 1091800
2014-11-26,42.5801,42.7697,42.4305,42.64, 1752700
2014-11-25,42.2309,42.7696,42.2109,42.61, 2713900
2014-11-24,42.3396,42.3994,41.8906,42.15, 2122400
2014-11-21,41.6512,42.2797,41.6013,42.15, 5306200
2014-11-20,40.4617,41.3296,40.4617,41.16, 2303800
2014-11-19,  40.72,41.2287,40.6002, 40.7, 4011900
2014-11-18,40.1513,41.0591,39.9518, 40.7, 5891400
2014-11-17,41.4692,41.5989,41.1101,41.14, 2696100
2014-11-14,41.2605,41.5498,41.1907,41.47, 1331300
2014-11-13,41.4498,41.6393,41.1605,41.35, 1805500
2014-11-12,41.2004,41.4398, 40.921,41.35, 2504300
2014-11-11,41.4203,42.0089,41.2408,41.56, 2163800
2014-11-10,40.8813,  41.45,40.7816,41.43, 2583900
2014-11-07,41.2889,41.3787,40.7602,40.83, 2458700
2014-11-06,40.2924,41.3099,40.1627,41.27, 2968300
2014-11-05,40.5088,40.5687,39.8804,40.03, 2341400
2014-11-04,40.1598,40.7284,39.7408,40.08, 5765200
2014-11-03,39.8023, 41.139,39.3933,40.74, 4559800
2014-10-31,   39.4,39.5428,39.1431,39.45, 2918700
2014-10-30,38.4674,38.8028,38.3533,38.76, 2883800
2014-10-29,38.9542,39.0184, 38.626,38.89, 2074200
2014-10-28,38.6147,39.0071,38.4435,   39, 2394800
2014-10-27,38.4943,38.6156,38.2517,38.53, 1545200
2014-10-24,38.3202,38.6128,38.1847,38.57, 2108500
2014-10-23,38.2444,38.6868,38.2444,38.33, 2453100
2014-10-22,38.3637,38.4279,37.8072,37.85, 3021200
2014-10-21,37.7166,38.5514,37.7166,38.53, 3120200
2014-10-20,37.1502,37.3714,36.2869,37.35, 6909200
2014-10-17,37.2286,38.1135,37.1216, 37.3, 5327500
2014-10-16,36.2364,37.1926,36.0722, 36.9, 7496200
2014-10-15,36.3034,37.0242,35.5398,36.96, 6604000
2014-10-14,37.8521,38.1018,36.9457,36.96, 5554100
2014-10-13,38.3408,38.6976,37.6272,37.67, 3533200
2014-10-10,39.1863,39.2648, 38.123,38.28, 7176800
2014-10-09, 40.162, 40.162,  39.27,39.27, 3531800
2014-10-08, 39.291,40.3328,39.1054,40.29, 2970300
2014-10-07, 40.142,40.1991,  39.25,39.25, 2117300
2014-10-06,40.7197, 40.791,40.2701,40.37, 1618000
2014-10-03,40.1248,40.6814,40.0748,40.61, 2205100
2014-10-02,40.0541,40.1326,39.4547,39.84, 2387900
2014-10-01,40.5638,40.6209,40.0857, 40.1, 3468900
2014-09-30,40.8241,40.9597,40.5458,40.66, 2964600
2014-09-29,39.9879,40.8014,39.9023,40.78, 2274000
2014-09-26, 40.527, 40.634,40.0131,40.32, 3101300
2014-09-25,41.1905,41.2831,   40.5, 40.5, 2278200
2014-09-24,40.4912,41.3169,  40.42,41.26, 2307400
2014-09-23,40.7522,40.9159,40.5102,40.56, 2282000
2014-09-22,41.3829,41.4256,40.7707,40.97, 2357900
2014-09-19,41.8758,41.9897,41.3632,41.47, 3039300
2014-09-18,42.1496, 42.292,41.5159,41.58, 4008100
2014-09-17,41.2865,41.9912,41.2295,41.92, 3788400
2014-09-16,41.1659,41.3724,40.8455,41.23, 1929000
2014-09-15,41.6429,41.6429,41.1019,41.23, 2266300
2014-09-12,41.0152,41.7414,41.0152,41.72, 3621400
2014-09-11,40.9502,41.0926,40.8719,   41, 1392300
2014-09-10,41.0059,41.1697,40.7069,41.07, 2066100
2014-09-09,41.0709,41.1492,   40.9, 40.9, 1798000
2014-09-08,41.0898,41.2607,40.9332,41.04, 1881400
2014-09-05, 40.988,41.3225,40.7887,41.23, 1268400
2014-09-04,41.3761,41.6395,41.0059,41.07, 1105300
2014-09-03,41.4368,41.6147,41.2019,41.33, 2066200
2014-09-02, 40.742,41.3614, 40.742,41.34, 2817800
2014-08-29, 40.811, 40.932,40.6331,40.69, 2767900
2014-08-28,40.6829,40.9606, 40.569,40.69, 1950800
